title,url,category,technologies,english,experience
Головний розробник Python/Senior Python developer,https://djinni.co/jobs/486354-golovnii-rozrobnik-python-senior-python-devel/,Python,"['Python', 'JavaScript', 'Linux', 'SDLC']",Upper-Intermediate,3
Senior Python Developer,https://djinni.co/jobs/486352-senior-python-developer/,Python,"['asyncio', 'Postgre SQL']",Intermediate,3
Middle/Senior Full-Stack Engineer,https://djinni.co/jobs/486345-middle-senior-full-stack-engineer/,Python,"['Python', 'React', 'Full Stack']",Intermediate,3
Python Developer,https://djinni.co/jobs/486337-python-developer/,Python,"['AWS', 'AWS Lambda', 'Python', 'Terraform']",Upper-Intermediate,2
Middle Python Developer,https://djinni.co/jobs/486313-middle-python-developer/,Python,"['Python', 'Basic SQL', 'AWS']",Intermediate,1
Senior Python Engineer,https://djinni.co/jobs/486276-senior-python-engineer/,Python,"['Python', 'Kubernetes', 'Docker', 'Terraform']",Upper-Intermediate,3
Middle Python Developer,https://djinni.co/jobs/486262-middle-python-developer/,Python,,Intermediate,2
Python developer,https://djinni.co/jobs/486245-python-developer/,Python,['Python'],,3
Senior Python Engineer,https://djinni.co/jobs/486197-senior-python-engineer/,Python,['Python'],Intermediate,5
Senior Python Developer,https://djinni.co/jobs/486194-senior-python-developer/,Python,,Upper-Intermediate,5
Senior Python Engineer,https://djinni.co/jobs/486191-senior-python-engineer/,Python,,Upper-Intermediate,5
Python Engineer (FashionTech),https://djinni.co/jobs/485780-python-engineer-fashiontech-/,Python,"['Python', 'AWS', 'Azure', 'Backend development']",Upper-Intermediate,3
Full Stack Developer (Biotechnology Research),https://djinni.co/jobs/485762-full-stack-developer-biotechnology-research-/,Python,"['Python', 'Flask', 'TypeScript', 'Vue', 'AWS']",Upper-Intermediate,5
Senior Python Developer,https://djinni.co/jobs/472909-senior-python-developer/,Python,"['Python', 'Django', 'Flask', 'Pandas', 'MySQL', 'Mongo DB', 'Cassandra', 'InfluxDB']",Upper-Intermediate,5
Team Lead Python Dev,https://djinni.co/jobs/431967-team-lead-python-dev/,Python,"['Google BigQuery', 'Django']",Intermediate,3
"Senior Backend Engineer
          

          

          
  
    
      $3000-5500",https://djinni.co/jobs/485706-senior-backend-engineer/,Python,['Python'],Upper-Intermediate,3
"Senior Python Developer
          

          

          
  
    
      $4000-6000",https://djinni.co/jobs/485701-senior-python-developer/,Python,['Python'],Upper-Intermediate,3
Python Lead for US Fintech company,https://djinni.co/jobs/485688-python-lead-for-us-fintech-company/,Python,"['Python', 'Django', 'RESTful APIs', 'JavaScript', 'AWS']",Upper-Intermediate,5
"Python-розробник
          

          

          
  
    
      $1500-2500",https://djinni.co/jobs/471358-python-rozrobnik/,Python,"['Python3', 'Django', 'MySQL', 'PostgreSQL']",,2
"Senior Python Developer, Financial Software Solutions",https://djinni.co/jobs/485636-senior-python-developer-financial-software-so/,Python,"['Apache Airflow', 'MongoDB', 'Python', 'JavaScript']",Intermediate,5
Backend Developer (Django),https://djinni.co/jobs/485635-backend-developer-django-/,Python,"['Python', 'Django']",Intermediate,3
Solidity/Blockchain expert,https://djinni.co/jobs/485615-solidity-blockchain-expert/,Python,"['Solidity', 'Blockchain', 'Security']",Upper-Intermediate,3
"Python AsyncIO + PostgreSQL developer
          

          

          
  
    
      $2998-3500",https://djinni.co/jobs/250170-python-asyncio-postgresql-developer/,Python,"['Python', 'asyncio', 'PostgreSQL', 'Docker', 'HTML', 'CSS', 'ClickHouse']",Intermediate,1
Senior/Lead Python Developer,https://djinni.co/jobs/460152-senior-lead-python-developer/,Python,"['Python', 'Django', 'Python', 'Flask', 'SQL', 'NoSQL', 'FastAPI']",Upper-Intermediate,5
Python Engineer,https://djinni.co/jobs/485415-python-engineer/,Python,,Upper-Intermediate,2
Regular Python Engineer,https://djinni.co/jobs/485382-regular-python-engineer/,Python,,Upper-Intermediate,2
Middle/Senior Python Developer,https://djinni.co/jobs/481758-middle-senior-python-developer/,Python,,Upper-Intermediate,3
Python developer,https://djinni.co/jobs/481750-python-developer/,Python,"['CI', 'CD', 'AI', 'ML', 'C', 'C++', 'CPUs', 'Python']",Upper-Intermediate,2
"Python Developer
          

          

          
  
    
      $1000-2500",https://djinni.co/jobs/481727-python-developer/,Python,"['Python', 'REST API', 'API', 'Redis', 'Docker', 'Linux', 'Django']",Intermediate,1
Middle/Senior QA Automation Python,https://djinni.co/jobs/468336-middle-senior-qa-automation-python/,Python,"['Python', 'Docker', 'Bitbucket', 'MongoDB', 'Cassandra', 'Selenium', 'Selenide']",Upper-Intermediate,2
Senior Python developer,https://djinni.co/jobs/481666-senior-python-developer/,Python,,Intermediate,3
Senior Python Engineer,https://djinni.co/jobs/481664-senior-python-engineer/,Python,,Upper-Intermediate,3
Senior Python Developer,https://djinni.co/jobs/481600-senior-python-developer/,Python,"['Kafka', 'Docker', 'Kubernetes', 'Python', 'PostgreSQL', 'Redis']",Intermediate,5
Middle Python/Django developer IRC166105,https://djinni.co/jobs/481458-middle-python-django-developer-irc166105/,Python,"['Django', 'JSON', 'MariaDB', 'PostgreSQL', 'REST']",Intermediate,2
"Middle/Senior Python Developer
          

          

          
  
    
      $3000-5000",https://djinni.co/jobs/402198-middle-senior-python-developer/,Python,"['Python', 'Django', 'Flask']",Upper-Intermediate,3
Middle/Senior Python Developer,https://djinni.co/jobs/481459-middle-senior-python-developer/,Python,['Python'],Upper-Intermediate,3
"Senior Full-stack developer (Python/React)
          

          

          
  
    
      $5000-6000",https://djinni.co/jobs/481447-senior-full-stack-developer-python-react-/,Python,"['Python', 'React', 'Full Stack']",Upper-Intermediate,5
"Middle/Senior Python Developer
          

          

          
  
    
      $3000-5000",https://djinni.co/jobs/481342-middle-senior-python-developer/,Python,['FastAPI'],Beginner/Elementary,2
Lead Python Engineer,https://djinni.co/jobs/481306-lead-python-engineer/,Python,"['Saas', 'Python', 'Team Lead', 'enterprise', 'SQL', 'No-SQL', 'fullstack']",Upper-Intermediate,5
